"client_id","Age","Sex","MaritalStatus","DIR","NumDependents","NumLoans","NumRealEstateLoans","Income","BalanceToCreditLimit","Num30_59Delinquencies","Num60_89Delinquencies","Delinq90_more"
60323,34.1,"m","married",0.888863,1,"3",1,2007,0.701523,0,0,"False"
34551,53.3,"f","married",0.225963,0,"12",0,6404,0.369274,0,0,"False"
15610,61.5,"f","married",0.322039,0,"11",1,14214,0.393571,2,0,"False"
64753,30.3,"m","single",0.63366,0,"12",1,3510,0.545654,2,0,"True"
68364,52.1,"f","single",0.130968,0,"9",0,11124,0.570725,0,0,"False"
45828,46.2,"f","single",0.223364,0,"12",2,19960,0.063169,0,0,"False"
36171,55.4,"f","single",5856.989293,0,"6",2,NA,0.348745,0,0,"False"
65388,62.6,"f","single",0.649992,0,"34",2,11634,0.331377,0,0,"False"
14438,43,"m","single",0.286014,1,"6",1,8217,0.006636,0,0,"False"
73747,55,"f","married",1392.013833,0,"13",1,NA,0.023377,0,0,"False"
51060,48.3,"f","single",0.305049,2,"15",1,11703,0.079856,0,0,"False"
21279,58.4,"f","married",2924.936303,0,"10",2,NA,0.043929,0,0,"False"
13919,31.1,"f","married",0.219016,0,"6",0,2462,0.632765,0,0,"False"
72728,61.5,"m","single",0.242292,0,"11",2,21120,0.240042,1,0,"False"
60041,81.4,"m","divorced",0.033118,1,"18",0,8417,0.05773,0,0,"False"
5265,52.5,"m","divorced",0.654496,1,"10",2,3835,0.859016,3,0,"False"
7467,45,"f","single",0.326229,3,"3",1,8869,0,0,0,"False"
4191,27.2,"f","divorced",0.154447,0,"4",0,3123,1.003915,0,0,"True"
29957,64.4,"m","divorced",0.546068,1,"11",1,9658,0.656698,0,0,"False"
55340,45.2,"m","married",0.509637,3,"9",1,5844,0.118354,0,0,"False"
35073,58.4,"m","married",2.255068,2,"6",2,2003,0.104367,0,0,"False"
68740,64.2,"m","divorced",1158.864693,0,"11",1,NA,0.028231,0,0,"False"
24316,75,"m","married",0.803816,0,"7",0,2623,1.041474,0,0,"False"
66357,46.2,"m","single",0.283373,1,"3",0,4253,0.666324,0,0,"False"
9500,63.5,"f","single",0.000769,0,"3",0,3941,0.005554,1,0,"False"
74941,60.3,"m","single",0.115637,0,"10",0,14082,0.660973,1,0,"False"
30581,50.5,"m","married",0.133609,4,"5",1,10640,0.017007,0,0,"False"
66755,51.4,"m","single",890.796004,0,"2",1,NA,0.08815,0,0,"False"
72124,55.1,"f","married",0.52965,0,"14",2,3522,0.058495,0,0,"False"
24395,52.5,"f","single",0.023404,0,"2",0,2516,0.547841,0,0,"False"
33671,62.2,"m","single",0.789371,0,"5",0,1001,0.890357,0,0,"False"
34030,30.3,"m","married",0.644196,0,"3",0,805,0.920634,0,0,"False"
12443,45.1,"m","married",0.387615,4,"5",1,6541,0.406265,0,0,"False"
73127,60.3,"m","married",0.316023,1,"13",1,6105,0.149599,0,0,"False"
67615,85.1,"f","single",0.218706,0,"9",0,2267,0.06112,0,0,"False"
8666,71.5,"f","single",0.152199,0,"8",1,1225,0.031385,0,0,"False"
53783,40.2,"f","divorced",0.215441,2,"7",0,4206,0.299777,1,0,"False"
13724,59.3,"f","married",0.219306,0,"15",1,10562,0.310176,0,0,"False"
55737,64.3,"f","single",0.068801,1,"-",1,12876,0.029883,0,0,"False"
32197,73.1,"f","married",0.086385,0,"6",1,9170,0.032943,0,0,"False"
11062,68.2,"f","single",0.109829,0,"5",1,7430,0.482896,0,0,"False"
67843,64.2,"f","divorced",1373.964847,0,"22",1,1,0.098555,0,0,"False"
56832,57.2,"m","divorced",0.396838,1,"22",1,13053,0.436018,0,0,"False"
58405,51.3,"f","single",2471.932233,NA,"10",3,NA,0.142162,0,0,"False"
56164,30,"m","divorced",0.428591,1,"9",1,10880,1.021031,1,0,"True"
47844,37.1,"f","married",0.310645,0,"7",1,2504,0.274061,0,0,"False"
63978,70.3,"m","single",739.106457,0,"7",0,NA,1.004664,0,0,"False"
27183,59.4,"f","divorced",934.198829,2,"11",1,NA,0.015062,0,0,"False"
45488,59.5,"f","single",3.559382,0,"12",1,3644,0.026703,0,0,"False"
73053,54.3,"f","married",0.487384,2,"9",1,8280,0.437798,0,0,"False"
44828,43,"m","married",0.425384,0,"8",2,8561,0.187315,0,0,"False"
25982,46.1,"f","single",5771.541348,3,"6",2,0,0.009367,0,0,"False"
36482,66.2,"f","single",0.438296,1,"6",1,4021,0.103583,0,0,"False"
34264,58.3,"f","married",0.358139,0,"6",1,1906,0.031381,0,0,"False"
1793,59.4,"m","married",0.294431,0,"15",2,7156,0.432559,0,0,"False"
19159,35,"m","divorced",1494.128159,0,"4",2,NA,0.121656,0,0,"False"
35475,63.4,"m","divorced",0.332157,1,"11",1,4913,0.007057,0,0,"False"
31969,36,"f","single",0.492154,0,"11",3,7021,0.022961,1,0,"False"
4540,72,"f","divorced",0.096477,1,"12",0,4119,0.026596,0,0,"False"
41340,45.1,"m","married",3603.753781,0,"10",1,NA,0.183817,0,0,"False"
56897,58.1,"m","divorced",0.266598,5,"7",2,14803,0.168726,0,0,"False"
27285,54.5,"f","single",0.356088,1,"12",4,18086,0.060627,0,0,"False"
29442,51,"m","single",1164.084508,2,"3",1,NA,1.00651,0,0,"False"
32644,58.3,"f","married",0.111546,1,"5",2,8333,0,0,0,"False"
45792,27.2,"m","single",0.038742,0,"5",1,4021,0.213397,0,0,"False"
68400,68.2,"m","married",0.304222,0,"5",2,10066,0.009003,0,0,"False"
21281,66.5,"f","married",1212.870031,0,"11",1,NA,0.043399,0,0,"False"
2570,40.1,"m","married",1.807178,0,"17",1,3503,0.681434,0,0,"False"
35655,37.2,"f","divorced",0.245328,0,"7",0,5451,0.780949,0,0,"False"
2027,54.3,"f","single",0.441245,0,"5",1,4608,0.068346,0,0,"False"
63518,33.2,"f","single",0.340379,1,"7",2,8806,0.110663,0,0,"False"
69879,45.1,"f","married",1585.246056,0,"2",2,NA,1.003635,0,0,NA
60033,35.1,"m","married",0.349428,1,"11",1,3500,0.441835,0,0,"False"
67192,28.1,"m","married",0.237192,0,"2",0,1809,1.020791,0,0,"False"
54771,73.3,"m","married",0.361705,0,"16",2,11235,0.257516,0,1,"False"
14570,56.4,"m","single",0.383019,0,"10",1,4763,0.277659,1,0,"True"
43280,26.2,"m","divorced",0.1004,0,"3",0,2605,1.004437,0,0,"False"
62183,39.4,"f","married",0.217512,3,"8",2,9988,0,0,0,"False"
